Release 13.2 - par O.61xd (nt)
Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

Thu May 02 15:15:00 2013


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       IP_watermarking_rijandal_map.ncd
OUTPUT FILE:      IP_watermarking_rijandal_pad.txt
PART TYPE:        xc6vlx75tl
SPEED GRADE:      -1l
PACKAGE:          ff784

Pinout by Pin Number:

+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name          |Pin Usage|Pin Name                  |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|IO Register|Signal Integrity|
|G14       |                     |IOBM     |IO_L3P_26                 |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|G15       |                     |         |VCCO_26                   |         |           |26            |          |         |           |         |2.50     |          |           |                |
|G16       |                     |IOBS     |IO_L2N_26                 |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|G17       |watermark_output<46> |IOB      |IO_L1P_25                 |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|G18       |watermark_output<50> |IOB      |IO_L4P_25                 |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|G19       |watermark_output<63> |IOB      |IO_L9N_MRCC_25            |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|G20       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|G21       |watermark_output<81> |IOB      |IO_L18N_GC_25             |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|G22       |Y<0>                 |IOB      |IO_L0P_16                 |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|G23       |Y<5>                 |IOB      |IO_L2N_16                 |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|G24       |x<7>                 |IOB      |IO_L12N_VRP_16            |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|G25       |                     |         |VCCO_16                   |         |           |16            |          |         |           |         |2.50     |          |           |                |
|G26       |x<17>                |IOB      |IO_L17N_16                |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|G27       |x<16>                |IOB      |IO_L17P_16                |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|G28       |watermark_output<2>  |IOB      |IO_L19P_16                |OUTPUT   |LVCMOS25*  |16            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|H1        |                     |OPAD     |MGTTXP1_116               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|H2        |                     |OPAD     |MGTTXN1_116               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|H3        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|H4        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|H5        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|H6        |                     |         |DIN_0                     |         |           |              |          |         |           |         |         |          |           |                |
|H7        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|H8        |                     |IOBM     |IO_L15P_36                |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|H9        |                     |IOBS     |IO_L15N_36                |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|H10       |                     |IOBS     |IO_L10N_MRCC_36           |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|H11       |                     |IOBM     |IO_L10P_MRCC_36           |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|H12       |                     |         |VCCO_36                   |         |           |36            |          |         |           |         |2.50     |          |           |                |
|H13       |                     |IOBM     |IO_L4P_36                 |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|H14       |watermark_output<0>  |IOB      |IO_L19P_26                |OUTPUT   |LVCMOS25*  |26            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|H15       |                     |IOBS     |IO_L4N_VREF_26            |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|H16       |                     |IOBM     |IO_L2P_26                 |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|H17       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|H18       |watermark_output<60> |IOB      |IO_L4N_VREF_25            |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|H19       |watermark_output<57> |IOB      |IO_L9P_MRCC_25            |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|H20       |watermark_output<80> |IOB      |IO_L18P_GC_25             |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|H21       |Y<1>                 |IOB      |IO_L0N_16                 |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|H22       |                     |         |VCCO_16                   |         |           |16            |          |         |           |         |2.50     |          |           |                |
|H23       |Y<4>                 |IOB      |IO_L2P_16                 |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|H24       |x<10>                |IOB      |IO_L12P_VRN_16            |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|H25       |watermark_output<6>  |IOB      |IO_L1P_15                 |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|H26       |watermark_output<7>  |IOB      |IO_L1N_15                 |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|H27       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|H28       |watermark_output<3>  |IOB      |IO_L19N_16                |OUTPUT   |LVCMOS25*  |16            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|J1        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|J2        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|J3        |                     |IPAD     |MGTREFCLK0N_116           |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|J4        |                     |IPAD     |MGTREFCLK0P_116           |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|J5        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|J6        |                     |         |VBATT_0                   |         |           |              |          |         |           |         |         |          |           |                |
|J7        |                     |IOBM     |IO_L17P_36                |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|J8        |                     |IOBS     |IO_L17N_36                |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|J9        |                     |         |VCCO_36                   |         |           |36            |          |         |           |         |2.50     |          |           |                |
|J10       |                     |IOBS     |IO_L16N_36                |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|J11       |                     |IOBM     |IO_L16P_36                |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|J12       |                     |IOBM     |IO_L11P_SRCC_36           |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|J13       |                     |IOBS     |IO_L4N_VREF_36            |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|J14       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|J15       |                     |IOBM     |IO_L8P_SRCC_26            |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|J16       |                     |IOBM     |IO_L4P_26                 |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|J17       |watermark_output<48> |IOB      |IO_L2P_25                 |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|J18       |watermark_output<9>  |IOB      |IO_L2N_25                 |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|J19       |                     |         |VCCO_25                   |         |           |25            |          |         |           |         |2.50     |          |           |                |
|J20       |watermark_output<73> |IOB      |IO_L14N_VREF_25           |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|J21       |Y<16>                |IOB      |IO_L8P_SRCC_16            |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|J22       |Y<17>                |IOB      |IO_L8N_SRCC_16            |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|J23       |watermark_output<49> |IOB      |IO_L2N_SM8N_15            |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|J24       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|J25       |watermark_output<15> |IOB      |IO_L5N_SM10N_15           |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|J26       |watermark_output<10> |IOB      |IO_L3P_SM9P_15            |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|J27       |watermark_output<11> |IOB      |IO_L3N_SM9N_15            |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|J28       |watermark_output<18> |IOB      |IO_L7P_SM12P_15           |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|K1        |                     |OPAD     |MGTTXP0_116               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|K2        |                     |OPAD     |MGTTXN0_116               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|K3        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|K4        |                     |         |MGTAVCC                   |         |           |              |          |         |           |         |         |          |           |                |
|K5        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|K6        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|K7        |watermark_output<93> |IOB      |IO_L19P_36                |OUTPUT   |LVCMOS25*  |36            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|K8        |                     |         |VCCAUX                    |         |           |              |          |         |           |         |2.5      |          |           |                |
|K9        |                     |IOBM     |IO_L18P_36                |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|K10       |                     |IOBS     |IO_L18N_36                |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|K11       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|K12       |                     |         |VCCINT                    |         |           |              |          |         |           |         |0.9      |          |           |                |
|K13       |                     |IOBS     |IO_L11N_SRCC_36           |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|K14       |                     |         |VCCINT                    |         |           |              |          |         |           |         |0.9      |          |           |                |
|K15       |                     |IOBS     |IO_L8N_SRCC_26            |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|K16       |                     |         |VCCINT                    |         |           |              |          |         |           |         |0.9      |          |           |                |
|K17       |watermark_output<4>  |IOB      |IO_L0P_25                 |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|K18       |watermark_output<45> |IOB      |IO_L0N_25                 |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|K19       |watermark_output<72> |IOB      |IO_L14P_25                |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|K20       |                     |         |VCCAUX                    |         |           |              |          |         |           |         |2.5      |          |           |                |
|K21       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|K22       |watermark_output<44> |IOB      |IO_L0P_15                 |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|K23       |watermark_output<5>  |IOB      |IO_L0N_15                 |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|K24       |watermark_output<8>  |IOB      |IO_L2P_SM8P_15            |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|K25       |watermark_output<14> |IOB      |IO_L5P_SM10P_15           |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|K26       |                     |         |VCCO_15                   |         |           |15            |          |         |           |         |2.50     |          |           |                |
|K27       |watermark_output<22> |IOB      |IO_L9P_MRCC_15            |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|K28       |watermark_output<20> |IOB      |IO_L7N_SM12N_15           |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|L1        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|L2        |                     |         |MGTAVTT                   |         |           |              |          |         |           |         |         |          |           |                |
|L3        |                     |IPAD     |MGTRXP3_115               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|L4        |                     |IPAD     |MGTRXN3_115               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|L5        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|L6        |                     |         |DONE_0                    |         |           |              |          |         |           |         |         |          |           |                |
|L7        |watermark_output<94> |IOB      |IO_L19N_36                |OUTPUT   |LVCMOS25*  |36            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|L8        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|L9        |                     |         |VCCINT                    |         |           |              |          |         |           |         |0.9      |          |           |                |
|L10       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|L11       |                     |         |VCCINT                    |         |           |              |          |         |           |         |0.9      |          |           |                |
|L12       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|L13       |                     |         |VCCINT                    |         |           |              |          |         |           |         |0.9      |          |           |                |
|L14       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|L15       |                     |         |VCCINT                    |         |           |              |          |         |           |         |0.9      |          |           |                |
|L16       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|L17       |                     |         |VCCINT                    |         |           |              |          |         |           |         |0.9      |          |           |                |
|L18       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|L19       |                     |         |VCCAUX                    |         |           |              |          |         |           |         |2.5      |          |           |                |
|L20       |watermark_output<12> |IOB      |IO_L4P_15                 |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|L21       |watermark_output<19> |IOB      |IO_L8P_SRCC_15            |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|L22       |watermark_output<21> |IOB      |IO_L8N_SRCC_15            |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|L23       |                     |         |VCCO_15                   |         |           |15            |          |         |           |         |2.50     |          |           |                |
|L24       |watermark_output<32> |IOB      |IO_L14P_15                |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|L25       |watermark_output<33> |IOB      |IO_L14N_VREF_15           |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|L26       |watermark_output<23> |IOB      |IO_L9N_MRCC_15            |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|L27       |watermark_output<29> |IOB      |IO_L12N_SM13N_15          |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|L28       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|M1        |                     |OPAD     |MGTTXP3_115               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|M2        |                     |OPAD     |MGTTXN3_115               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|M3        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|M4        |                     |         |MGTAVCC                   |         |           |              |          |         |           |         |         |          |           |                |
|M5        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|M6        |                     |         |INIT_B_0                  |         |           |              |          |         |           |         |         |          |           |                |
|M7        |                     |         |PROGRAM_B_0               |         |           |              |          |         |           |         |         |          |           |                |
|M8        |                     |         |VCCAUX                    |         |           |              |          |         |           |         |2.5      |          |           |                |
|M9        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|M10       |                     |         |VCCINT                    |         |           |              |          |         |           |         |0.9      |          |           |                |
|M11       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|M12       |                     |         |VCCINT                    |         |           |              |          |         |           |         |0.9      |          |           |                |
|M13       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|M14       |                     |         |VCCINT                    |         |           |              |          |         |           |         |0.9      |          |           |                |
|M15       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|M16       |                     |         |VCCINT                    |         |           |              |          |         |           |         |0.9      |          |           |                |
|M17       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|M18       |                     |         |VCCINT                    |         |           |              |          |         |           |         |0.9      |          |           |                |
|M19       |watermark_output<13> |IOB      |IO_L4N_VREF_15            |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|M20       |                     |         |VCCO_15                   |         |           |15            |          |         |           |         |2.50     |          |           |                |
|M21       |watermark_output<25> |IOB      |IO_L10N_MRCC_15           |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|M22       |watermark_output<24> |IOB      |IO_L10P_MRCC_15           |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|M23       |watermark_output<16> |IOB      |IO_L6P_SM11P_15           |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|M24       |watermark_output<17> |IOB      |IO_L6N_SM11N_15           |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|M25       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|M26       |watermark_output<26> |IOB      |IO_L11P_SRCC_15           |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|M27       |watermark_output<28> |IOB      |IO_L12P_SM13P_15          |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|M28       |watermark_output<35> |IOB      |IO_L15N_SM15N_15          |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|N1        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|N2        |                     |         |MGTAVTT                   |         |           |              |          |         |           |         |         |          |           |                |
|N3        |                     |IPAD     |MGTRXP2_115               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|N4        |                     |IPAD     |MGTRXN2_115               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|N5        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|N6        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|N7        |                     |         |HSWAPEN_0                 |         |           |              |          |         |           |         |         |          |           |                |
|N8        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|N9        |                     |         |VCCINT                    |         |           |              |          |         |           |         |0.9      |          |           |                |
|N10       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|N11       |                     |         |VCCINT                    |         |           |              |          |         |           |         |0.9      |          |           |                |
|N12       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|N13       |                     |         |AVSS_0                    |         |           |              |          |         |           |         |         |          |           |                |
|N14       |                     |         |AVDD_0                    |         |           |              |          |         |           |         |         |          |           |                |
|N15       |                     |         |VCCINT                    |         |           |              |          |         |           |         |0.9      |          |           |                |
|N16       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|N17       |                     |         |VCCINT                    |         |           |              |          |         |           |         |0.9      |          |           |                |
|N18       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|N19       |                     |         |VCCAUX                    |         |           |              |          |         |           |         |2.5      |          |           |                |
|N20       |watermark_output<40> |IOB      |IO_L18P_15                |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|N21       |watermark_output<41> |IOB      |IO_L18N_15                |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|N22       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|N23       |watermark_output<42> |IOB      |IO_L19P_15                |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|N24       |watermark_output<36> |IOB      |IO_L16P_VRN_15            |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|N25       |watermark_output<37> |IOB      |IO_L16N_VRP_15            |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|N26       |watermark_output<27> |IOB      |IO_L11N_SRCC_15           |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|N27       |                     |         |VCCO_15                   |         |           |15            |          |         |           |         |2.50     |          |           |                |
|N28       |watermark_output<34> |IOB      |IO_L15P_SM15P_15          |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|P1        |                     |OPAD     |MGTTXP2_115               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|P2        |                     |OPAD     |MGTTXN2_115               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|P3        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|P4        |                     |         |MGTAVCC                   |         |           |              |          |         |           |         |         |          |           |                |
|P5        |                     |IPAD     |MGTREFCLK1N_115           |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|P6        |                     |IPAD     |MGTREFCLK1P_115           |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|P7        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|P8        |                     |         |VCCAUX                    |         |           |              |          |         |           |         |2.5      |          |           |                |
|P9        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|P10       |                     |         |VCCINT                    |         |           |              |          |         |           |         |0.9      |          |           |                |
|P11       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|P12       |                     |         |VCCINT                    |         |           |              |          |         |           |         |0.9      |          |           |                |
|P13       |                     |         |VREFN_0                   |         |           |              |          |         |           |         |         |          |           |                |
|P14       |                     |IPAD     |VP_0                      |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|P15       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|P16       |                     |         |VCCINT                    |         |           |              |          |         |           |         |0.9      |          |           |                |
|P17       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|P18       |                     |         |VCCINT                    |         |           |              |          |         |           |         |0.9      |          |           |                |
|P19       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|P20       |                     |IOBS     |IO_L14N_VREF_14           |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|P21       |                     |IOBM     |IO_L8P_SRCC_14            |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|P22       |                     |IOBS     |IO_L8N_SRCC_14            |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|P23       |watermark_output<43> |IOB      |IO_L19N_15                |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|P24       |                     |         |VCCO_15                   |         |           |15            |          |         |           |         |2.50     |          |           |                |
|P25       |watermark_output<39> |IOB      |IO_L17N_15                |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|P26       |watermark_output<38> |IOB      |IO_L17P_15                |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|P27       |watermark_output<31> |IOB      |IO_L13N_SM14N_15          |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|P28       |watermark_output<30> |IOB      |IO_L13P_SM14P_15          |OUTPUT   |LVCMOS25*  |15            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|R1        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|R2        |                     |         |MGTAVTT                   |         |           |              |          |         |           |         |         |          |           |                |
|R3        |                     |IPAD     |MGTRXP1_115               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|R4        |                     |IPAD     |MGTRXN1_115               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|R5        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|R6        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|R7        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|R8        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|R9        |                     |         |VCCINT                    |         |           |              |          |         |           |         |0.9      |          |           |                |
|R10       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|R11       |                     |         |VCCINT                    |         |           |              |          |         |           |         |0.9      |          |           |                |
|R12       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|R13       |                     |IPAD     |VN_0                      |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|R14       |                     |         |VREFP_0                   |         |           |              |          |         |           |         |         |          |           |                |
|R15       |                     |         |VCCINT                    |         |           |              |          |         |           |         |0.9      |          |           |                |
|R16       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|R17       |                     |         |VCCINT                    |         |           |              |          |         |           |         |0.9      |          |           |                |
|R18       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|R19       |                     |         |VCCAUX                    |         |           |              |          |         |           |         |2.5      |          |           |                |
|R20       |                     |IOBM     |IO_L14P_14                |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|R21       |                     |         |VCCO_14                   |         |           |14            |          |         |           |         |any******|          |           |                |
|R22       |                     |IOBM     |IO_L18P_14                |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|R23       |                     |IOBS     |IO_L18N_14                |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|R24       |                     |IOBM     |IO_L12P_VRN_14            |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|R25       |                     |IOBS     |IO_L12N_VRP_14            |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|R26       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|R27       |                     |IOBM     |IO_L0P_14                 |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|R28       |                     |IOBS     |IO_L0N_14                 |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
