Release 13.2 - par O.61xd (nt)
Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

Thu May 02 15:15:00 2013


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       IP_watermarking_rijandal_map.ncd
OUTPUT FILE:      IP_watermarking_rijandal_pad.txt
PART TYPE:        xc6vlx75tl
SPEED GRADE:      -1l
PACKAGE:          ff784

Pinout by Pin Number:

+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name          |Pin Usage|Pin Name                  |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|IO Register|Signal Integrity|
|AB25      |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AB26      |output_dev<12>       |IOB      |IO_L8N_SRCC_24            |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AB27      |output_dev<11>       |IOB      |IO_L8P_SRCC_24            |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AB28      |output_dev<0>        |IOB      |IO_L2N_D14_24             |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AC1       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AC2       |                     |         |MGTAVTT                   |         |           |              |          |         |           |         |         |          |           |                |
|AC3       |                     |IPAD     |MGTRXP3_114               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AC4       |                     |IPAD     |MGTRXN3_114               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AC5       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AC6       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AC7       |                     |         |VCCO_35                   |         |           |35            |          |         |           |         |2.50     |          |           |                |
|AC8       |watermark_output<96> |IOB      |IO_L6P_SM3P_35            |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AC9       |watermark_output<90> |IOB      |IO_L3P_SM1P_35            |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AC10      |watermark_output<89> |IOB      |IO_L5P_SM2P_35            |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AC11      |watermark_output<97> |IOB      |IO_L7N_SM4N_35            |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AC12      |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AC13      |clk_en               |IOB      |IO_L1N_GC_34              |INPUT    |LVCMOS25*  |34            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|AC14      |                     |IOBS     |IO_L5N_A08_D24_34         |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AC15      |                     |IOBS     |IO_L11N_SRCC_34           |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AC16      |                     |IOBS     |IO_L14N_VREF_A24_34       |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AC17      |                     |         |VCCO_34                   |         |           |34            |          |         |           |         |2.50     |          |           |                |
|AC18      |                     |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AC19      |                     |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AC20      |                     |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AC21      |                     |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
